canton,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
AG,618298,627340,636362,645277,653675,663462,670988,678207,685845,694072
AR,53313,53438,53691,54064,54543,54954,55178,55234,55445,55309
AI,15743,15717,15778,15854,15974,16003,16105,16145,16128,16293
BL,275360,276537,278656,281301,283231,285624,287023,288132,289468,290969
BS,186255,187425,189335,190580,191817,193070,193908,194766,195844,196735
BE,985046,992617,1001281,1009418,1017483,1026513,1031126,1034977,1039474,1043132
FR,284668,291395,297622,303377,307461,311914,315074,318714,321783,325496
GE,460534,463101,469433,477385,484736,489524,495249,499480,504128,506343
GL,39217,39369,39593,39794,40028,40147,40349,40403,40590,40851
GR,193388,193920,194959,195886,196610,197550,197888,198379,199021,200096
JU,70542,70942,71738,72410,72782,73122,73290,73419,73584,73709
LU,381966,386082,390349,394604,398762,403397,406506,409557,413120,416347
NE,173183,174554,176402,177327,178107,178567,177964,176850,176496,175894
NW,41311,41584,41888,42080,42420,42556,42969,43223,43087,43520
OW,35885,36115,36507,36834,37076,37378,37575,37841,37930,38108
SH,77139,77955,78783,79417,79836,80769,81351,81991,82348,83107
SZ,147904,149830,151396,152759,154093,155863,157301,159165,160480,162157
SO,256990,259283,261437,263719,266418,269441,271432,273194,275247,277462
SG,483156,487060,491699,495824,499065,502552,504686,507697,510734,514504
TG,251973,256213,260278,263733,267429,270709,273801,276472,279547,282909
TI,336943,341652,346539,350363,351946,354375,353709,353343,351491,350986
UR,35382,35693,35865,36008,35973,36145,36299,36433,36703,36819
VS,317022,321732,327011,331763,335696,339176,341463,343955,345525,348503
VD,725944,734356,749373,761446,773407,784822,793129,799145,805098,814762
ZG,115104,116575,118118,120089,122134,123948,125421,126837,127642,128794
ZH,1392396,1408575,1425538,1446354,1466424,1487969,1504346,1520968,1539275,1553423
